"","MUNICIPIO","iteracion","ranking"
"712","San Agustin Tlaxiaca","Km,22",29
"713","San Agustin Tlaxiaca","Km,24",29
"714","San Agustin Tlaxiaca","Km,26",29
"715","SBT","Km, 0",81
"716","SBT","Km,2",80
"717","SBT","Km,4",82
"718","SBT","Km,6",82
"719","SBT","Km,8",82
"720","SBT","Km,10",82
"721","SBT","Km,12",82
"722","SBT","Km,14",82
"723","SBT","Km,16",81
"724","SBT","Km,18",81
"725","SBT","Km,20",81
"726","SBT","Km,22",81
"727","SBT","Km,24",81
"728","SBT","Km,26",81
"729","San Salvador","Km, 0",25
"730","San Salvador","Km,2",34
"731","San Salvador","Km,4",36
"732","San Salvador","Km,6",35
"733","San Salvador","Km,8",35
"734","San Salvador","Km,10",35
"735","San Salvador","Km,12",35
"736","San Salvador","Km,14",34
"737","San Salvador","Km,16",33
"738","San Salvador","Km,18",33
"739","San Salvador","Km,20",32
"740","San Salvador","Km,22",32
"741","San Salvador","Km,24",32
"742","San Salvador","Km,26",32
"743","Santiago De Anaya","Km, 0",61
"744","Santiago De Anaya","Km,2",53
"745","Santiago De Anaya","Km,4",51
"746","Santiago De Anaya","Km,6",48
"747","Santiago De Anaya","Km,8",48
"748","Santiago De Anaya","Km,10",48
"749","Santiago De Anaya","Km,12",48
"750","Santiago De Anaya","Km,14",48
"751","Santiago De Anaya","Km,16",48
"752","Santiago De Anaya","Km,18",48
"753","Santiago De Anaya","Km,20",48
"754","Santiago De Anaya","Km,22",48
"755","Santiago De Anaya","Km,24",48
"756","Santiago De Anaya","Km,26",48
"757","Lugo Guerrero","Km, 0",12
"758","Lugo Guerrero","Km,2",13
"759","Lugo Guerrero","Km,4",10
"760","Lugo Guerrero","Km,6",10
"761","Lugo Guerrero","Km,8",11
"762","Lugo Guerrero","Km,10",11
"763","Lugo Guerrero","Km,12",11
"764","Lugo Guerrero","Km,14",11
"765","Lugo Guerrero","Km,16",11
"766","Lugo Guerrero","Km,18",11
"767","Lugo Guerrero","Km,20",11
"768","Lugo Guerrero","Km,22",11
"769","Lugo Guerrero","Km,24",11
"770","Lugo Guerrero","Km,26",11
"771","Singuilucan","Km, 0",26
"772","Singuilucan","Km,2",24
"773","Singuilucan","Km,4",19
"774","Singuilucan","Km,6",17
"775","Singuilucan","Km,8",15
"776","Singuilucan","Km,10",14
"777","Singuilucan","Km,12",14
"778","Singuilucan","Km,14",14
"779","Singuilucan","Km,16",14
"780","Singuilucan","Km,18",14
"781","Singuilucan","Km,20",14
"782","Singuilucan","Km,22",14
"783","Singuilucan","Km,24",14
"784","Singuilucan","Km,26",14
"785","Tasquillo","Km, 0",62
"786","Tasquillo","Km,2",45
"787","Tasquillo","Km,4",42
"788","Tasquillo","Km,6",42
"789","Tasquillo","Km,8",42
"790","Tasquillo","Km,10",42
"791","Tasquillo","Km,12",42
"792","Tasquillo","Km,14",42
"793","Tasquillo","Km,16",42
"794","Tasquillo","Km,18",42
"795","Tasquillo","Km,20",42
"796","Tasquillo","Km,22",42
"797","Tasquillo","Km,24",42
"798","Tasquillo","Km,26",42
"799","Tecozautla","Km, 0",18
"800","Tecozautla","Km,2",41
"801","Tecozautla","Km,4",40
"802","Tecozautla","Km,6",43
